step,time,mode,p_pv_kw,p_load_kw,p_ev_kw,batt_state,batt_kw,soc_batt_pct,sc_state,sc_kw,soc_sc_pct,grid_kw,export_kw,net_grid_kw,peak_shave_kw,ev_alert,evening,voltage_violation,transformer_loading_pct,self_sufficiency_pct,bess_charged_kwh_cum,bess_discharged_kwh_cum,ev_energy_kwh_cum,pv_total_kwh_cum,grid_import_kwh_cum,co2_saved_kg_step,co2_saved_kg_cum,v_mainbus_pu,v_panelbus_pu,v_mechworkshopbus_pu,v_hostelfbus_pu,v_guesthousebus_pu,v_auditoriumbus_pu,v_librarybus_pu,v_civildeptbus_pu,v_mechdeptbus_pu,v_elecdeptbus_pu,v_ltdbus_pu,v_hostelcbus_pu,v_hosteldbus_pu,v_gymbus_pu,v_evbus_pu,v_lecturetheatrebus_pu,v_adminbus_pu,v_pumphousebus_pu,v_securitybus_pu,v_uppercanteenbus_pu,v_lowercanteenbus_pu,v_boyshostelbbus_pu,v_hostelblockbus_pu
14,03:30,NORMAL,0.0,74.88,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,74.88,0.0,74.88,0.0,,,,7.49,0.0,0.0,0.0,0.0,0.0,287.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
15,03:45,NORMAL,0.0,75.04,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,75.04,0.0,75.04,0.0,,,,7.5,0.0,0.0,0.0,0.0,0.0,306.66,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
16,04:00,NORMAL,0.0,74.56,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,74.56,0.0,74.56,0.0,,,,7.46,0.0,0.0,0.0,0.0,0.0,325.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
17,04:15,NORMAL,0.0,71.87,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,71.87,0.0,71.87,0.0,,,,7.19,0.0,0.0,0.0,0.0,0.0,343.27,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
18,04:30,NORMAL,0.0,74.3,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,74.3,0.0,74.3,0.0,,,,7.43,0.0,0.0,0.0,0.0,0.0,361.84,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
19,04:45,NORMAL,0.0,73.71,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,73.71,0.0,73.71,0.0,,,,7.37,0.0,0.0,0.0,0.0,0.0,380.27,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
20,05:00,NORMAL,0.0,74.42,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,74.42,0.0,74.42,0.0,,,,7.44,0.0,0.0,0.0,0.0,0.0,398.88,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
21,05:15,NORMAL,10.87,75.61,0.0,CHARGING,10.87,23.39,IDLING,-0.0,15.0,75.61,0.0,75.61,0.0,,,,7.56,0.0,2.72,0.0,0.0,2.72,417.78,1.957,1.96,1.0,1.0,1.0001,1.0001,1.0,1.0004,1.0002,1.0001,1.0002,0.9997,1.0,1.0003,1.0003,1.0,1.0,1.0001,1.0001,1.0,0.9999,1.0,1.0001,1.0001,1.0
22,05:30,NORMAL,21.75,77.07,0.0,CHARGING,21.75,24.18,IDLING,-0.0,15.0,77.07,0.0,77.07,0.0,,,,7.71,0.0,8.16,0.0,0.0,8.16,437.05,3.915,5.87,1.0,1.0,1.0002,1.0002,1.0001,1.0007,1.0003,1.0001,1.0004,0.9998,1.0,1.0007,1.0007,1.0,1.0,1.0002,1.0002,1.0,0.9999,1.0001,1.0002,1.0001,1.0001
23,05:45,NORMAL,32.62,79.59,0.0,CHARGING,32.62,25.36,IDLING,-0.0,15.0,79.59,0.0,79.59,0.0,,,,7.96,0.0,16.31,0.0,0.0,16.31,456.94,5.872,11.74,1.0,1.0,1.0003,1.0003,1.0001,1.0011,1.0005,1.0002,1.0006,0.9999,1.0,1.001,1.001,1.0,1.0,1.0003,1.0003,1.0,0.9999,1.0001,1.0003,1.0002,1.0001
